as_of,regime,regime_conf,p_rec,ensemble
2018-01-01,expansion,0.427,0.2,backtest_sharpe
2018-04-01,expansion,0.37,0.25,backtest_sharpe
2018-07-01,expansion,0.308,0.27,backtest_sharpe
2018-10-01,expansion,0.407,0.31,backtest_sharpe
2019-01-01,expansion,0.361,0.32,backtest_sharpe
2019-04-01,expansion,0.515,0.32,backtest_sharpe
2019-07-01,expansion,0.489,0.27,backtest_sharpe
2019-10-01,expansion,0.439,0.27,backtest_sharpe
2020-01-01,expansion,0.431,0.27,backtest_sharpe
2020-04-01,recession,0.588,0.36,trimmed_mean
2020-07-01,recession,0.681,0.4,trimmed_mean
2020-10-01,expansion,0.509,0.24,backtest_sharpe
2021-01-01,expansion,0.422,0.24,backtest_sharpe
2021-04-01,expansion,0.456,0.2,backtest_sharpe
2021-07-01,expansion,0.503,0.2,backtest_sharpe
2021-10-01,expansion,0.457,0.2,backtest_sharpe
2022-01-01,expansion,0.502,0.2,backtest_sharpe
2022-04-01,expansion,0.446,0.2,backtest_sharpe
2022-07-01,late-cycle,0.325,0.2,inverse_te
2022-10-01,late-cycle,0.61,0.3,inverse_te
2023-01-01,late-cycle,0.497,0.32,inverse_te
2023-04-01,late-cycle,0.369,0.27,inverse_te
2023-07-01,late-cycle,0.36,0.27,inverse_te
2023-10-01,late-cycle,0.437,0.27,inverse_te
2024-01-01,late-cycle,0.376,0.2,inverse_te
2024-04-01,late-cycle,0.372,0.25,inverse_te
2024-07-01,late-cycle,0.35,0.25,inverse_te
2024-10-01,late-cycle,0.179,0.2,inverse_te
2025-01-01,late-cycle,0.256,0.2,inverse_te
2025-04-01,late-cycle,0.295,0.2,inverse_te
2025-07-01,late-cycle,0.133,0.2,inverse_te
2025-10-01,late-cycle,0.26,0.2,inverse_te
2026-01-01,late-cycle,0.19,0.2,inverse_te
2026-04-01,late-cycle,0.575,0.2,inverse_te
